c,sigma,sigma_prime,kappa,phat_one,m,identity_relerr,residual
0.257,0.03792200799609002,0.16852915041862135,1.0588998817081519,-6.283185307179585,10.6355944632499,3.171973274559932e-11,1.1102230246251565e-14
0.258,0.03809070351981815,0.1688623339420624,1.060993335535535,-6.283185307179587,10.651584307632362,2.3830914257395783e-11,1.2878587085651816e-14
0.259,0.03825973354256971,0.1691981526337006,1.0631033466046818,-6.283185307179587,10.667704510281634,2.381243878419336e-11,1.099120794378905e-14
0.26,0.038429100711238916,0.16953663052685883,1.0652300659279108,-6.283185307179587,10.683963743806988,2.5518358379374912e-11,1.3766765505351941e-14
0.261,0.03859880770155626,0.16987780164456281,1.0673737072938276,-6.283185307179587,10.70035536472026,1.4294707582679138e-11,1.1435297153639112e-14
0.262,0.03876885722073707,0.17022169143957508,1.069534430591171,-6.283185307179585,10.716884393468648,2.358434324077466e-11,1.0658141036401503e-14
0.263,0.038939251999307714,0.1705683263505827,1.0717124019712738,-6.283185307179585,10.733554081806806,2.3252361286213655e-11,1.021405182655144e-14
0.264,0.03910999479982629,0.17091773955015044,1.0739078298535467,-6.283185307179585,10.750357652725263,2.263291868509168e-11,1.3655743202889425e-14
0.265,0.03928108841112345,0.1712699517015832,1.0761208440683891,-6.283185307179587,10.76730610142321,2.2633213405285142e-11,1.5432100042289676e-14
0.266,0.03945253564711409,0.17162499520209637,1.0783516481671684,-6.283185307179585,10.784393607423914,2.912798234283017e-11,2.120525977034049e-14
0.267,0.039624339354657936,0.17198289768746414,1.0806004158025193,-6.283185307179587,10.80162103700047,3.102499890606879e-11,1.9872992140790302e-14
0.268,0.03979650240251435,0.1723436812138025,1.0828672855593593,-6.283185307179587,10.818997339631881,2.6270296405277894e-11,1.509903313490213e-14
0.269,0.03996902768973633,0.17270738169053207,1.0851524830511996,-6.283185307179585,10.836511818809754,2.5994597957715733e-11,1.709743457922741e-14
0.27,0.04014191814509177,0.1730740202424924,1.0874561410150232,-6.2831853071795845,10.854174856829966,2.492717117149245e-11,1.4654943925052066e-14
0.271,0.04031517671900021,0.17344362550675313,1.089778439379748,-6.283185307179585,10.871986431235088,2.591502110387848e-11,1.4876988529977098e-14
0.272,0.040488806396643776,0.17381623132604293,1.0921195907936156,-6.283185307179587,10.889939255064743,2.1522955979369392e-11,1.9484414082171497e-14
0.273,0.04066281018756667,0.17419185606338516,1.0944797106213746,-6.283185307179585,10.908048151932675,2.4146809402016878e-11,2.2093438190040615e-14
0.274,0.0408371911272895,0.1745705357949037,1.0968590255400839,-6.283185307179587,10.926303219646318,3.0015908096165633e-11,2.2648549702353193e-14
0.275,0.041011952286764825,0.17495229792422998,1.0992577077547183,-6.283185307179587,10.944706933227573,1.8293478825030648e-11,2.6978419498391304e-14
0.276,0.04118709675734067,0.17533716389609577,1.1016758919681071,-6.283185307179587,10.963270482804127,2.394615118497123e-11,2.65898414397725e-14
0.277,0.041362627662951346,0.1757251737557219,1.1041138298146975,-6.283185307179585,10.981979189096197,2.6114901777139255e-11,2.9753977059954195e-14
0.278,0.0415385481594416,0.1761163479237415,1.1065716495907372,-6.283185307179588,11.000846132194031,3.41990761862461e-11,2.4091839634365897e-14
0.279,0.04171486142302045,0.17651071541148636,1.1090495336136874,-6.2831853071795845,11.019872715727523,1.760120423911585e-11,1.2712053631958042e-14
0.28,0.04189157066808551,0.17690831489507775,1.1115477248348145,-6.283185307179585,11.039047118920841,2.864242432036391e-11,1.5432100042289676e-14
0.281,0.042068679135216606,0.1773091629575903,1.1140663274919087,-6.283185307179585,11.058388638962548,2.830481610006283e-11,1.8540724511240114e-14
0.282,0.04224619008955258,0.17771329737657904,1.1166055789384937,-6.283185307179588,11.077887411735505,2.5492048916224195e-11,1.5265566588595902e-14
0.283,0.042424106836705375,0.1781207509956345,1.1191656855271812,-6.283185307179588,11.097540726186342,2.8935330746211387e-11,3.452793606584237e-14
0.284,0.04260243270328029,0.1785315415448436,1.1217467586718548,-6.2831853071795845,11.117367218724482,2.7482144766461932e-11,2.2870594307278225e-14
0.285,0.04278117104732839,0.1789457134654345,1.1243490775977358,-6.2831853071795845,11.13734882498082,2.7616024272804233e-11,1.970645868709653e-14
0.286,0.04296032526576304,0.17936329190326095,1.1269728002978303,-6.283185307179587,11.157494541758847,3.2034697114307826e-11,1.7208456881689926e-14
0.287,0.04313989877395752,0.1797843003378865,1.129618074320009,-6.283185307179585,11.177816034329568,2.1742961171569777e-11,3.7414515929867775e-14
0.288,0.04331989502608029,0.18020878586691055,1.1322851955547457,-6.283185307179587,11.198292709232978,2.552281478527728e-11,2.4980018054066022e-14
0.289,0.043500317510555275,0.1806367668216963,1.1349742791959005,-6.283185307179587,11.218944023127346,3.049123009558731e-11,2.5979218776228663e-14
0.29,0.04368116973526295,0.18106827525989494,1.1376855266826076,-6.283185307179588,11.239770880214213,2.3480583744422594e-11,2.3148150063434514e-14
0.291,0.04386245525272009,0.18150335665146541,1.140419223679653,-6.283185307179587,11.260756127717691,3.210285629940232e-11,1.9206858326015208e-14
0.292,0.04404417764377058,0.1819420253275496,1.143175460264457,-6.283185307179588,11.2819257873961,2.807898987688677e-11,2.220446049250313e-14
0.293,0.044226340512907636,0.18238432257857778,1.1459544958461674,-6.283185307179587,11.303269238625354,3.4429712476525664e-11,2.631228568361621e-14
0.294,0.044408947512512675,0.18283028890624733,1.1487565849410442,-6.2831853071795845,11.32477736594504,1.9227454553413025e-11,1.8207657603852567e-14
0.295,0.044592002317658676,0.18327993823964872,1.1515818150153931,-6.283185307179587,11.346477846867405,2.843897189209573e-11,2.0317081350640365e-14
0.296,0.044775508633432506,0.18373331993715952,1.1544304962375485,-6.283185307179587,11.368350235177122,2.6799868097068894e-11,2.2648549702353193e-14
0.297,0.044959470213253326,0.18419046771371844,1.1573028404348185,-6.283185307179587,11.390395956095245,2.2944233087666984e-11,2.4091839634365897e-14
0.298,0.04514389082905318,0.1846513984364792,1.1601989535799564,-6.283185307179588,11.41263978296367,2.266303883060222e-11,2.2426505097428162e-14
0.299,0.045328774290104346,0.1851161673381747,1.163119182709259,-6.283185307179587,11.43505457231136,2.6960287261400674e-11,2.7422508708241367e-14
0.3,0.04551412445206732,0.1855848009612674,1.1660636946046894,-6.283185307179587,11.45765277443643,2.6580105633203912e-11,2.6978419498391304e-14
0.301,0.0456999451869783,0.18605732166713018,1.1690326297586098,-6.283185307179587,11.480452847426445,2.8646563373298558e-11,2.786659791809143e-14
0.302,0.04588624041140077,0.18653378801917503,1.172026356131055,-6.283185307179587,11.503424489008516,3.718102555064392e-11,2.4202861936828413e-14
0.303,0.046073014084749536,0.1870142201070997,1.1750449999825483,-6.283185307179587,11.526590166217312,2.3854235967523793e-11,3.275157922644212e-14
0.304,0.0462602701827104,0.18749864733192426,1.1780887459999436,-6.283185307179587,11.549960009960195,2.7205011831942783e-11,4.0523140398818214e-14
0.305,0.046448012731886305,0.18798712926669592,1.1811579685067164,-6.283185307179585,11.57350376291125,3.4421146310331513e-11,3.452793606584237e-14
0.306,0.04663624579737215,0.18847968089689657,1.1842527616824545,-6.283185307179587,11.597252066047808,2.6027485710124848e-11,3.042011087472929e-14
0.307,0.04682497346215081,0.18897633926889557,1.187373358268072,-6.283185307179585,11.621205979302458,2.5970862852234865e-11,2.453592884421596e-14
0.308,0.04701419986538011,0.1894771631791205,1.1905201277022743,-6.283185307179587,11.645337750320794,2.590855831902445e-11,1.7319479184152442e-14
0.309,0.04720392918017417,0.1899821640538882,1.193693141778718,-6.283185307179587,11.669684099252589,2.5847688150896526e-11,2.8310687127941492e-14
0.31,0.04739416560042211,0.19049138649701935,1.1968926807514924,-6.283185307179587,11.694237219572566,2.577302646637183e-11,4.6407322429331543e-14
0.311,0.04758491338026705,0.19100488736941032,1.2001191018881232,-6.283185307179585,11.718973451422077,2.5703552793452492e-11,3.930189507173054e-14
0.312,0.04777617680357046,0.19152267597066908,1.20337246361979,-6.2831853071795845,11.743933662653474,2.5623360213826177e-11,3.752553823233029e-14
0.313,0.04796796017860181,0.19204480393841944,1.2066530903952404,-6.283185307179587,11.769101974608892,2.5542654865567994e-11,1.965094753586527e-14
0.314,0.048160267876944676,0.19257132563580667,1.2099613237881917,-6.283185307179587,11.794459588216968,2.5459237021916296e-11,2.8199664825478976e-14
0.315,0.048353104296249914,0.1931022493854441,1.213297216091163,-6.283185307179585,11.820049989809533,2.5374963563899584e-11,3.0309088572266774e-14
0.316,0.04854647386248887,0.1936376331129041,1.2166611312612652,-6.283185307179587,11.845850305056484,2.5286737156398245e-11,3.552713678800501e-14
0.317,0.048740381067274914,0.19417752862360838,1.220053394801563,-6.283185307179587,11.871846686370274,2.5192951891730317e-11,2.8477220581635265e-14
0.318,0.04893483042529349,0.19472194405132726,1.223474057818037,-6.283185307179588,11.898084207476405,2.5099285575304258e-11,2.90878432451791e-14
0.319,0.0491298264834151,0.19527094280770596,1.2269235187378114,-6.283185307179585,11.924534137955584,2.4999039457244254e-11,3.3306690738754696e-14
0.32,0.04932537385602829,0.19582457446568996,1.2304020890368856,-6.283185307179585,11.9511871563512,2.4896059381407445e-11,3.2862601528904634e-14
0.321,0.049521477178275826,0.19638284739429065,1.2339098212993054,-6.283185307179585,11.97808938910486,2.4793073982650416e-11,4.3076653355456074e-14
0.322,0.04971814112100472,0.196945829727482,1.2374471436234595,-6.283185307179585,12.005207326248247,2.4686134417311648e-11,2.9976021664879227e-14
0.323,0.04991537042428822,0.19751356941412831,1.241014357280944,-6.283185307179587,12.032535372386027,2.4578675696579016e-11,2.5646151868841116e-14
0.324,0.05011316984728958,0.1980860751589435,1.2446115169650889,-6.283185307179585,12.060120609430724,2.4470173737136678e-11,2.453592884421596e-14
0.325,0.05031154418782872,0.19866341912830718,1.2482390761106381,-6.283185307179587,12.087925715128302,2.4355655702197706e-11,4.6407322429331543e-14
0.326,0.05051049831475334,0.19924564846229012,1.2518973309073853,-6.283185307179587,12.115947749626889,2.4239255926470218e-11,2.9753977059954195e-14
0.327,0.050710037114882464,0.19983277204164251,1.2555863371547218,-6.283185307179587,12.144235002477455,2.4127541600727703e-11,2.842170943040401e-14
0.328,0.05091016551598056,0.20042486543860383,1.2593065696870474,-6.283185307179585,12.17274721251014,2.400812807113348e-11,3.985700658404312e-14
0.329,0.05111088851888992,0.20102197595785617,1.2630583257284276,-6.283185307179587,12.201482820673355,2.3896381134522407e-11,3.730349362740526e-14
0.33,0.05131221114183901,0.20162411231082572,1.266841660014385,-6.283185307179587,12.230491824174772,2.3777341687564675e-11,4.907185768843192e-14
0.331,0.051514138445476684,0.2022313528691956,1.270657064968722,-6.283185307179585,12.259731861591135,2.3655268527956835e-11,3.175237850427948e-14
0.332,0.05171667556595738,0.20284374620608306,1.2745048457853303,-6.283185307179587,12.289201312657683,2.3535419090645695e-11,3.630429290524262e-14
0.333,0.051919827656799464,0.20346130041431879,1.2783850533129668,-6.283185307179585,12.318952520165315,2.341448133224539e-11,3.952393967665557e-14
0.334,0.052123599914473316,0.2040840960136936,1.2822981934724,-6.283185307179587,12.348941914142339,2.32922919559763e-11,3.5638159090467525e-14
0.335,0.052327997613825554,0.204712184062987,1.2862445870754011,-6.283185307179587,12.379166225731165,2.316972914279831e-11,2.8976820942716586e-14
0.336,0.05253302604766688,0.20534557157352,1.2902242781753943,-6.283185307179587,12.409680799192925,2.3050935353376647e-11,3.241851231905457e-14
0.337,0.05273869055126931,0.20598434043979136,1.2942377813307018,-6.283185307179587,12.440441903750077,2.292729766950296e-11,3.589576552665008e-14
0.338,0.05294499654156163,0.20662854551813428,1.2982854412138176,-6.2831853071795845,12.471442913185083,2.2808271222572425e-11,4.5630166312093934e-14
0.339,0.05315194945477917,0.20727819236355183,1.3023672927278644,-6.283185307179587,12.50274271252451,2.2688365996843597e-11,4.3853809472693683e-14
0.34,0.05335955476805937,0.20793336327134124,1.3064838529494422,-6.283185307179588,12.53429871875337,2.256810057893661e-11,4.973799150320701e-14
0.341,0.053567818043749126,0.20859411826688815,1.31063549902917,-6.283185307179587,12.566099162785637,2.2449175633148856e-11,4.9404924595819466e-14
0.342,0.05377674486580732,0.2092604612786563,1.3148222556503122,-6.283185307179585,12.598206739968354,2.233276970910182e-11,6.972200594645983e-14
0.343,0.053986340856406204,0.20993247376023524,1.319044634600875,-6.283185307179585,12.630581675247296,2.221212599683748e-11,5.040412531798211e-14
0.344,0.05419661172655147,0.21061022227244358,1.3233030540948048,-6.283185307179585,12.663205278180587,2.20958454068542e-11,3.83026943495679e-14
0.345,0.05440756321235187,0.21129370928169736,1.327597529629055,-6.283185307179585,12.696143883022582,2.198004834910303e-11,6.650235917504688e-14
0.346,0.05461920108438392,0.21198301384673618,1.3319285579443334,-6.2831853071795845,12.729362591211032,2.186739874166859e-11,4.196643033083092e-14
0.347,0.054831531205380625,0.2126782103179547,1.336296606197949,-6.283185307179587,12.762834158657803,2.1757036798258154e-11,4.7628567756419216e-14
0.348,0.05504455946817452,0.21337930033658326,1.3407016847020579,-6.283185307179585,12.796627765359077,2.1646796097923624e-11,4.440892098500626e-14
0.349,0.05525829179534468,0.21408635870549078,1.3451442634569484,-6.283185307179585,12.830715863776204,2.1536511957672457e-11,3.752553823233029e-14
0.35,0.05547273420426074,0.21479946854962856,1.3496248647520883,-6.283185307179587,12.865061375152383,2.142947617180128e-11,5.206945985491984e-14
0.351,0.05568789274905958,0.2155186319231245,1.3541435014939471,-6.283185307179587,12.899734740054189,2.1322877747277367e-11,4.1300296516055823e-14
0.352,0.055903773508318495,0.21624391727407852,1.3587006037546208,-6.283185307179587,12.93471855261793,2.1216877981307346e-11,5.906386491005833e-14
0.353,0.056120382656711015,0.21697541701073728,1.3632967521522381,-6.283185307179585,12.969965240541628,2.11178229092904e-11,5.517808432387028e-14
0.354,0.05633772641424958,0.21771313553466198,1.3679319743426412,-6.283185307179587,13.005544001622228,2.101347648400734e-11,6.328271240363392e-14
0.355,0.05655581101990641,0.21845713275965262,1.3726066467753217,-6.283185307179585,13.041450473431686,2.091473398325028e-11,6.927791673660977e-14
0.356,0.056774642808199674,0.21920751016641474,1.3773214070723647,-6.2831853071795845,13.077626873094982,2.0817023178269903e-11,4.3520742565306136e-14
0.357,0.05699422816937182,0.21996427715973432,1.3820763143257881,-6.283185307179587,13.114137699080949,2.0717449244231772e-11,5.051514762044462e-14
0.358,0.05721457350773193,0.2207274831189503,1.3868716787951183,-6.283185307179587,13.1509943058741,2.0622279461086306e-11,5.67323965583455e-14
0.359,0.057435685320079984,0.22149723741700697,1.3917081876908377,-6.283185307179587,13.18813025378817,2.0528115951441306e-11,5.473399511402022e-14
0.36,0.05765757017088838,0.2222735577512669,1.3965859522087503,-6.283185307179585,13.225601044147183,2.043765780327952e-11,5.81756864903582e-14
