xi,phi_prime,phat
-186.71875,3.304964581335202e-10,1.5189968744227592e-10
-186.62109375,1.7084530393959877e-09,2.3852391983049033e-10
-186.5234375,3.029326584225448e-09,3.12001774214645e-10
-186.42578125,4.227140777130987e-09,3.6904446232889875e-10
-186.328125,5.240688801933129e-09,4.072177991736159e-10
-186.23046875,6.016578504951964e-09,4.2504324509163165e-10
-186.1328125,6.5120469651949074e-09,4.2205077905219414e-10
-186.03515625,6.697329764733566e-09,3.987823710938949e-10
-185.9375,6.557262522696438e-09,3.5674643454202016e-10
-185.83984375,6.092395394085055e-09,2.983267864516697e-10
-185.7421875,5.319237617147147e-09,2.266509730331285e-10
-185.64453125,4.269735390424284e-09,1.4542548023532855e-10
-185.546875,2.9900705659259924e-09,5.874600028887702e-11
-185.44921875,1.5386209744716362e-09,-2.910722575065431e-11
-185.3515625,-1.6669910793321117e-11,-1.1387924806494534e-10
-185.25390625,-1.601458070909621e-09,-1.9154481704494897e-10
-185.15625,-3.1384532220760156e-09,-2.584980232825469e-10
-185.05859375,-4.55123928690749e-09,-3.1171790681782727e-10
-184.9609375,-5.7680108969354514e-09,-3.489029249766304e-10
-184.86328125,-6.7251747202139e-09,-3.685679854312644e-10
-184.765625,-7.370675873181372e-09,-3.7010049635463427e-10
-184.66796875,-7.666732379595909e-09,-3.5377310379506765e-10
-184.5703125,-7.591980835358108e-09,-3.2071374418934713e-10
-184.47265625,-7.14286888423339e-09,-2.7283485524684046e-10
-184.375,-6.334194861901953e-09,-2.127263526255516e-10
-184.27734375,-5.198638789712741e-09,-1.4351780315034177e-10
-184.1796875,-3.785617595661026e-09,-6.871744242989817e-11
-184.08203125,-2.1591490568503807e-09,7.96418518349915e-12
-183.984375,-3.949403269699755e-10,8.279675222743633e-11
-183.88671875,1.4230411426864485e-09,1.5221035075414247e-10
-183.7890625,3.206539108300578e-09,2.1296431042408816e-10
-183.69140625,4.867281534203325e-09,2.6229714181195236e-10
-183.59375,6.3213222150480094e-09,2.980503149425931e-10
-183.49609375,7.493206942238841e-09,3.1876083768992837e-10
-183.3984375,8.319868833077196e-09,3.237183407217441e-10
-183.30078125,8.754002882331388e-09,3.129850276060098e-10
-183.203125,8.766625149769449e-09,2.8737780664326986e-10
-183.10546875,8.348926046614212e-09,2.4841462112303414e-10
-183.0078125,7.513009082958768e-09,1.9822781334917247e-10
-182.91015625,6.291793358583468e-09,1.394497620603381e-10
-182.8125,4.737756978069469e-09,7.507639577067631e-11
-182.71484375,2.920731532152735e-09,8.316018717776682e-12
-182.6171875,9.248544465360488e-10,-5.7569426294546285e-11
-182.51953125,-1.1553257804284074e-09,-1.1942242517247011e-10
-182.421875,-3.2192895589866877e-09,-1.7434012958128177e-10
-182.32421875,-5.165344790307205e-09,-2.1980923185757316e-10
-182.2265625,-6.895607705542548e-09,-2.53819718132217e-10
-182.12890625,-8.320886753207674e-09,-2.7495197687982613e-10
-182.03125,-9.365233214453322e-09,-2.8243402268617024e-10
-181.93359375,-9.96994685321215e-09,-2.7616620078561346e-10
-181.8359375,-1.009675765057166e-08,-2.567132535240543e-10
-181.73828125,-9.730116926087236e-09,-2.2526430344049005e-10
-181.640625,-8.878422137032415e-09,-1.8356374649982442e-10
